PassengerId,Pclass,Sex,Age,SibSp,Parch,Survived
1,3,male,22,1,0,0
2,1,female,38,1,0,1
3,3,female,26,0,0,1
4,1,female,35,1,0,1
5,3,male,35,0,0,0
6,3,male,34,0,0,0
7,1,male,54,0,0,0
8,3,male,2,3,1,0
9,3,female,27,0,2,1
10,2,female,14,1,0,1
11,3,female,4,1,1,1
12,1,female,58,0,0,1
13,3,male,20,0,0,0
14,3,male,39,1,5,0
15,3,female,14,0,0,1
16,2,female,55,0,0,1
17,3,male,2,4,1,0
18,2,male,12,0,0,1
19,3,female,31,1,0,0
20,3,female,63,0,0,1
21,2,male,35,0,0,0
22,2,male,34,0,0,0
23,3,female,15,0,0,1
24,1,male,28,0,0,1
25,3,female,8,3,1,0
26,3,female,38,1,5,1
27,3,male,44,0,0,0
28,1,male,19,3,2,0
29,3,female,6,0,0,1
30,3,male,78,0,0,0
31,1,male,40,0,0,1
32,1,female,77,1,0,1
33,3,female,63,0,0,1
34,2,male,66,0,0,0
35,1,male,28,1,0,0
36,1,male,42,1,0,0
37,3,male,26,0,0,0
38,3,male,21,0,0,0
39,3,female,18,2,0,0
40,3,female,14,1,0,0
41,3,female,40,1,0,0
42,2,female,27,1,0,1
43,3,male,22,0,0,0
44,2,female,3,1,2,1
45,3,female,19,0,0,1
46,3,male,37,0,0,0
47,3,male,41,1,0,0
48,3,female,18,0,0,1
49,3,male,52,2,0,0
50,3,female,18,1,0,0
51,3,male,7,4,1,0
52,3,male,21,0,0,0
53,1,female,49,1,0,1
54,2,female,29,1,0,1
55,1,male,65,0,1,0
56,1,male,13,0,0,1
57,2,female,21,0,0,1
58,3,male,28,0,0,0
59,2,female,5,1,2,1
60,3,male,11,5,2,0
61,3,male,22,0,0,0
62,1,female,38,0,0,1
63,1,male,45,1,0,0
64,3,male,4,3,2,0
65,1,male,57,0,0,0
66,3,male,33,1,1,1
67,2,female,29,0,0,1
68,3,male,19,0,0,0
69,3,female,17,4,2,1
70,3,male,26,2,0,0
71,2,male,32,0,0,0
72,3,female,16,5,2,0
73,2,male,21,0,0,0
74,3,male,26,1,0,0
75,3,male,32,0,0,0
76,3,male,25,0,0,0
77,3,male,27,0,0,0
78,3,male,22,0,0,0
79,2,male,1,0,2,1
80,3,female,30,0,0,1
81,3,male,22,0,0,0
82,2,male,29,0,0,0
83,3,female,57,0,0,1
84,1,female,28,0,0,1
85,2,female,17,0,0,1
86,3,female,33,3,0,1
87,3,male,16,1,3,0
88,3,male,31,0,0,0
89,1,female,23,3,2,1
90,3,male,24,0,0,0
91,3,male,29,0,0,0
92,3,male,20,0,0,0
93,1,male,46,1,0,0
94,3,male,26,1,2,0
95,3,male,59,0,0,0
96,3,male,44,0,0,0
97,1,male,71,0,0,0
98,1,male,23,0,1,1
99,2,female,34,0,1,1
100,2,male,34,1,0,0
